enzyme,unit,rows,experiments,references,yield_min,yield_median,yield_max
CMCase,U/gds,60,60,16,1.43,31.825000000000003,959.53
xylanase,U/gds,60,60,16,7.06,286.55499999999995,10196.53
β-glucosidase,U/gds,51,51,10,0.43,22.47,274.0
FPase,U/gds,35,35,18,1.7,17.58,437.54
β-xylosidase,U/gds,30,30,2,0.02,1.63,19.96
xylanase,U/g,26,26,9,1.3,1167.54,8450.0
FPase,U/g,19,19,7,0.089,1.5,31.48
phytase,U/g protein,17,17,1,1300.0,332600.0,2084800.0
β-glucosidase,U/g,14,14,6,1.873,10.2645,540.57
CMCase,U/mL,12,12,3,1.5,9.0,256.0
CMCase,U/g,11,11,4,0.226,5.564,655.94
Mn-peroxidase,U/mL,11,11,3,0.0,0.0504,1.2
laccase,U/mL,11,11,4,0.02,0.1897,4009.0
lignin peroxidase,U/mL,10,10,2,0.013,0.1725,270.0
protease,U/mL,9,9,2,16.0,28.0,45.0
β-glucosidase,U/mL,9,9,2,0.0,14.4,95.01
FPase,nmol [Glu]/ml/min],7,7,1,2.2,7.6,8.2
avicelase,U/mL,7,7,1,0.59,0.8,1.5
L-asparaginase,U/gds,6,6,2,6.16,12.754999999999999,2264.91
xylanase,U/mL,6,6,3,4.0,71.5,1500.0
protease,U/g,5,5,1,99.75,183.98,262.78
endo-polygalacturonase (pectinase),U/gds,4,4,1,2.3,20.9,30.1
endo-polymethylgalacturonase (pectinase),U/gds,4,4,1,4.8,21.55,32.9
exo-polygalacturonase (pectinase),U/gds,4,4,1,14.9,21.35,28.3
exo-polymethylgalacturonase (pectinase),U/gds,4,4,1,16.6,19.2,33.4
laccase,U/g,4,4,2,30.0,165.97,285.0
glucoamylase,U/cm²,3,3,1,4.5,4.5,5.4
α-amylase,U/cm²,3,3,1,0.035,0.035,0.035
L-asparaginase,U/g protein,2,2,1,3740.0,5420.0,7100.0
cellobiohydrolase,U/gds,2,2,2,3.0,9.35,15.7
ferulic acid esterase,U/gds,2,2,1,0.45,0.71,0.97
fructosyltransferase,U/gds,2,2,1,74.12,85.78,97.44
inulinase,U/gds,2,2,2,230.0,232.5,235.0
laccase,U/gds,2,2,2,446.39,2037.195,3628.0
p-nitrophenyl lactosidase,U/mL,2,2,1,0.17,0.57,0.97
p-nitrophenyl xylosidase,U/mL,2,2,1,0.33,0.6,0.87
α-amylase,U/mL,2,2,1,65.95,73.905,81.86
α-glucosidase,U/mL,2,2,1,1.65,3.0700000000000003,4.49
β-xylosidase,U/g,2,2,2,78.0,126.21,174.42
Mn-peroxidase,U/g,1,1,1,1603.0,1603.0,1603.0
Mn-peroxidase,U/gds,1,1,1,1979.4,1979.4,1979.4
MnI-peroxidase,U/mL,1,1,1,1.0,1.0,1.0
amylase,U/gds,1,1,1,713.2,713.2,713.2
chitinase,U/gds,1,1,1,0.8,0.8,0.8
ellagitannase,U/mL,1,1,1,1.17998,1.17998,1.17998
endoglucanase,U/g,1,1,1,308.16,308.16,308.16
glucoamylase,U/g,1,1,1,22.5,22.5,22.5
glucoamylase,U/gds,1,1,1,114.0,114.0,114.0
inulinase,U/g,1,1,1,257.0,257.0,257.0
invertase,U/g,1,1,1,1358.6,1358.6,1358.6
laccase,U/g protein,1,1,1,150.0,150.0,150.0
lignin peroxidase,U/g,1,1,1,1500.0,1500.0,1500.0
lignin peroxidase,U/gds,1,1,1,1498.1,1498.1,1498.1
pectin lyase (pectinase),U/mL,1,1,1,42.0,42.0,42.0
pectinase,U/gds,1,1,1,23.0,23.0,23.0
phytase,U/gds,1,1,1,48.28,48.28,48.28
protease,U/gds,1,1,1,83.2,83.2,83.2
α-amylase,U/g,1,1,1,0.225,0.225,0.225
"β-1,3-glucanase",U/gds,1,1,1,0.16,0.16,0.16
β-xylosidase,U/g protein,1,1,1,300.0,300.0,300.0
